Student,Module Code,Mark,Gender,UoN Student Group,Ethnicity
S150579485,BUS2027,65,Male,Not Assigned,White including Another other and Irish
S150579485,BUS3343,72,Male,Not Assigned,White including Another other and Irish
S150579485,ECO1089,80,Male,Not Assigned,White including Another other and Irish
S150579485,SUG3500,72,Male,Not Assigned,White including Another other and Irish
S150586380,CSC3323,0,Male,Not Assigned,Other Mixed
S150586380,CSC3721,57,Male,Not Assigned,Other Mixed
S150586380,PSY2001, ,Male,Not Assigned,Other Mixed
S150586380,PSY2003,37,Male,Not Assigned,Other Mixed
S150586380,SUG3500,68,Male,Not Assigned,Other Mixed
S160177211,CSC3122,73,Male,Not Assigned,White including Another other and Irish
S160177211,CSC3124,68,Male,Not Assigned,White including Another other and Irish
S160177211,CSC3222,52,Male,Not Assigned,White including Another other and Irish
S160177211,CSC3324,74,Male,Not Assigned,White including Another other and Irish
S160177211,CSC3424,77,Male,Not Assigned,White including Another other and Irish
S160177211,CSC3622,62,Male,Not Assigned,White including Another other and Irish
S150553544,CSC3123,66,Male,Not Assigned,White including Another other and Irish
S150553544,CSC3221,67,Male,Not Assigned,White including Another other and Irish
S150553544,CSC3223,64,Male,Not Assigned,White including Another other and Irish
S150553544,CSC3422,80,Male,Not Assigned,White including Another other and Irish
S150553544,CSC3621,76,Male,Not Assigned,White including Another other and Irish
S150553544,CSC3721,62,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3096,61,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3221,60,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3222,67,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3223,58,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3224,77,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3423,68,Male,Not Assigned,White including Another other and Irish
S150579876,CSC3424, ,Male,Not Assigned,White including Another other and Irish
S150579876,CSC8314,60,Male,Not Assigned,White including Another other and Irish
S150545413,CSC2025,53,Male,Not Assigned,Chinese
S150545413,CSC3123,57,Male,Not Assigned,Chinese
S150545413,CSC3223,20,Male,Not Assigned,Chinese
S150545413,CSC3621,83,Male,Not Assigned,Chinese
S150545413,CSC3721,57,Male,Not Assigned,Chinese
S150688167,CSC2026,77,Male,Not Assigned,Chinese
S150688167,CSC2513,74,Male,Not Assigned,Chinese
S150688167,SOC1033,62,Male,Not Assigned,Chinese
S069011795,CSC8601,90,Female,Not Assigned,White including Another other and Irish
S069011795,CSC8602,81,Female,Not Assigned,White including Another other and Irish
S069011795,CSC8603,89,Female,Not Assigned,White including Another other and Irish
S069011795,CSC8604,83,Female,Not Assigned,White including Another other and Irish
S069011795,CSC8605,75,Female,Not Assigned,White including Another other and Irish
S069011795,CSC8609,68,Female,Not Assigned,White including Another other and Irish
S069011795,HSC8042,55,Female,Not Assigned,White including Another other and Irish
S069011795,HSC8047,67,Female,Not Assigned,White including Another other and Irish
S069011795,HSC8056,62,Female,Not Assigned,White including Another other and Irish
S081326965,CSC8601,58,Female,Not Assigned,White including Another other and Irish
S081326965,CSC8602,62,Female,Not Assigned,White including Another other and Irish
S081326965,CSC8603,72,Female,Not Assigned,White including Another other and Irish
S081326965,CSC8604,79,Female,Not Assigned,White including Another other and Irish
S081326965,CSC8605,72,Female,Not Assigned,White including Another other and Irish
S081326965,HSC8042,75,Female,Not Assigned,White including Another other and Irish
S081326965,HSC8047,59,Female,Not Assigned,White including Another other and Irish
S081326965,HSC8056,62,Female,Not Assigned,White including Another other and Irish
S101271093,CSC8101,86,Male,Not Assigned,White including Another other and Irish
S101271093,CSC8601,60,Male,Not Assigned,White including Another other and Irish
S101271093,CSC8602,62,Male,Not Assigned,White including Another other and Irish
S101271093,CSC8603,58,Male,Not Assigned,White including Another other and Irish
S101271093,CSC8604,79,Male,Not Assigned,White including Another other and Irish
S101271093,CSC8605,70,Male,Not Assigned,White including Another other and Irish
S101271093,EDU8031,68,Male,Not Assigned,White including Another other and Irish
S140502970,CSC8601,82,Male,Not Assigned,White including Another other and Irish
S140502970,CSC8602,74,Male,Not Assigned,White including Another other and Irish
S140502970,CSC8603,63,Male,Not Assigned,White including Another other and Irish
S140502970,CSC8604,83,Male,Not Assigned,White including Another other and Irish
S140502970,CSC8605,75,Male,Not Assigned,White including Another other and Irish
S140502970,SOC8034,58,Male,Not Assigned,White including Another other and Irish
S140502970,TCP8001,57,Male,Not Assigned,White including Another other and Irish
S140502970,TCP8939,65,Male,Not Assigned,White including Another other and Irish
S150177177,CSC8601,66,Female,Not Assigned,Arab
S150177177,CSC8602,71,Female,Not Assigned,Arab
S150177177,CSC8603,67,Female,Not Assigned,Arab
S150177177,CSC8604,81,Female,Not Assigned,Arab
S150177177,CSC8605,74,Female,Not Assigned,Arab
S150177177,EDU8031,63,Female,Not Assigned,Arab
S150177177,SOC8034,72,Female,Not Assigned,Arab
S150530431,CSC8101,85,Male,Not Assigned,Asian or Asian British (all)
S150530431,CSC8601,60,Male,Not Assigned,Asian or Asian British (all)
S150530431,CSC8602,66,Male,Not Assigned,Asian or Asian British (all)
S150530431,CSC8603,61,Male,Not Assigned,Asian or Asian British (all)
S150530431,CSC8604,82,Male,Not Assigned,Asian or Asian British (all)
S150530431,CSC8605,65,Male,Not Assigned,Asian or Asian British (all)
S150530431,HSC8056,60,Male,Not Assigned,Asian or Asian British (all)
S150530431,TCP8939,75,Male,Not Assigned,Asian or Asian British (all)
S150609900,CSC8101,88,Male,Not Assigned,White including Another other and Irish
S150609900,CSC8601,74,Male,Not Assigned,White including Another other and Irish
S150609900,CSC8602,85,Male,Not Assigned,White including Another other and Irish
S150609900,CSC8603,69,Male,Not Assigned,White including Another other and Irish
S150609900,CSC8604,81,Male,Not Assigned,White including Another other and Irish
S150609900,CSC8605,67,Male,Not Assigned,White including Another other and Irish
S150609900,HSC8042,55,Male,Not Assigned,White including Another other and Irish
S150609900,HSC8056,60,Male,Not Assigned,White including Another other and Irish
S150610102,CSC8601,91,Female,Not Assigned,White including Another other and Irish
S150610102,CSC8602,86,Female,Not Assigned,White including Another other and Irish
S150610102,CSC8603,88,Female,Not Assigned,White including Another other and Irish
S150610102,CSC8604,79,Female,Not Assigned,White including Another other and Irish
S150610102,CSC8605,76,Female,Not Assigned,White including Another other and Irish
S150610102,SOC8034,70,Female,Not Assigned,White including Another other and Irish
S150610102,TCP8001,58,Female,Not Assigned,White including Another other and Irish
S150610102,TCP8939,72,Female,Not Assigned,White including Another other and Irish
S150616090,CSC8601,94,Male,Not Assigned,White including Another other and Irish
S150616090,CSC8602,61,Male,Not Assigned,White including Another other and Irish
S150616090,CSC8603,74,Male,Not Assigned,White including Another other and Irish
S150616090,CSC8604,82,Male,Not Assigned,White including Another other and Irish
S150616090,CSC8605,74,Male,Not Assigned,White including Another other and Irish
S150616090,EDU8213,78,Male,Not Assigned,White including Another other and Irish
S150616090,SOC8034,64,Male,Not Assigned,White including Another other and Irish
S150616551,CSC8601,93,Male,Not Assigned,White including Another other and Irish
S150616551,CSC8602,50,Male,Not Assigned,White including Another other and Irish
S150616551,CSC8603,75,Male,Not Assigned,White including Another other and Irish
S150616551,CSC8604,83,Male,Not Assigned,White including Another other and Irish
S150616551,CSC8605,54,Male,Not Assigned,White including Another other and Irish
S150616551,EDU8031,64,Male,Not Assigned,White including Another other and Irish
S150616551,SOC8034,58,Male,Not Assigned,White including Another other and Irish
S150623836,CSC8601,89,Female,Not Assigned,White including Another other and Irish
S150623836,CSC8602,76,Female,Not Assigned,White including Another other and Irish
S150623836,CSC8603,67,Female,Not Assigned,White including Another other and Irish
S150623836,CSC8604,82,Female,Not Assigned,White including Another other and Irish
S150623836,CSC8605,81,Female,Not Assigned,White including Another other and Irish
S150623836,HSC8042,65,Female,Not Assigned,White including Another other and Irish
S150623836,HSC8047,62,Female,Not Assigned,White including Another other and Irish
S150623836,HSC8056,57,Female,Not Assigned,White including Another other and Irish
S150642527,CSC8111,71,Male,Not Assigned,White including Another other and Irish
S150642527,CSC8601,92,Male,Not Assigned,White including Another other and Irish
S150642527,CSC8602,53,Male,Not Assigned,White including Another other and Irish
S150642527,CSC8603,68,Male,Not Assigned,White including Another other and Irish
S150642527,CSC8604,81,Male,Not Assigned,White including Another other and Irish
S150642527,CSC8605,71,Male,Not Assigned,White including Another other and Irish
S150642527,EDU8031,66,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8101,77,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8110,85,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8111,63,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8622,85,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8623,70,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8624,66,Male,Not Assigned,White including Another other and Irish
S011306821,CSC8625,80,Male,Not Assigned,White including Another other and Irish
S011306821,MAS8380,92,Male,Not Assigned,White including Another other and Irish
S011306821,MAS8381,81,Male,Not Assigned,White including Another other and Irish
S011306821,MAS8382,57,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8101,87,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8110,89,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8111,62,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8622,89,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8623,61,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8624,66,Male,Not Assigned,White including Another other and Irish
S100559242,CSC8625,70,Male,Not Assigned,White including Another other and Irish
S100559242,MAS8380,97,Male,Not Assigned,White including Another other and Irish
S100559242,MAS8381,89,Male,Not Assigned,White including Another other and Irish
S100559242,MAS8382,61,Male,Not Assigned,White including Another other and Irish
S101011145,CSC8101,68,Female,Not Assigned,White including Another other and Irish
S101011145,CSC8110,81,Female,Not Assigned,White including Another other and Irish
S101011145,CSC8111,67,Female,Not Assigned,White including Another other and Irish
S101011145,CSC8622,89,Female,Not Assigned,White including Another other and Irish
S101011145,CSC8623,70,Female,Not Assigned,White including Another other and Irish
S101011145,CSC8624,61,Female,Not Assigned,White including Another other and Irish
S101011145,CSC8625,69,Female,Not Assigned,White including Another other and Irish
S101011145,MAS8380,96,Female,Not Assigned,White including Another other and Irish
S101011145,MAS8381,80,Female,Not Assigned,White including Another other and Irish
S101011145,MAS8382,64,Female,Not Assigned,White including Another other and Irish
S110059750,CSC8101,74,Female,Not Assigned,Chinese
S110059750,CSC8110,96,Female,Not Assigned,Chinese
S110059750,CSC8111,61,Female,Not Assigned,Chinese
S110059750,CSC8621,92,Female,Not Assigned,Chinese
S110059750,CSC8622,88,Female,Not Assigned,Chinese
S110059750,CSC8623,68,Female,Not Assigned,Chinese
S110059750,CSC8624,69,Female,Not Assigned,Chinese
S110059750,CSC8625,80,Female,Not Assigned,Chinese
S110059750,MAS8381,88,Female,Not Assigned,Chinese
S110059750,MAS8382,74,Female,Not Assigned,Chinese
S110075495,CSC8101,74,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8110,93,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8111,67,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8621,91,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8622,86,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8623,67,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8624,68,Female,Not Assigned,White including Another other and Irish
S110075495,CSC8625,70,Female,Not Assigned,White including Another other and Irish
S110075495,MAS8381,90,Female,Not Assigned,White including Another other and Irish
